genres,release_year,id,playtime_forever
Action,2016.0,499460.0,13
Adventure,2016.0,499460.0,13
Casual,2016.0,499460.0,13
Indie,2016.0,499460.0,13
Action,2016.0,514890.0,2
Adventure,2016.0,514890.0,2
Casual,2016.0,514890.0,2
Indie,2016.0,514890.0,2
Action,2015.0,355020.0,0
Adventure,2015.0,355020.0,0
Casual,2015.0,355020.0,0
Strategy,2015.0,355020.0,0
Action,1999.0,20.0,960524
Adventure,1999.0,20.0,960524
Casual,1999.0,20.0,960524
Action,2009.0,319170.0,5581
Adventure,2009.0,319170.0,5581
Casual,2009.0,319170.0,5581
Action,2010.0,19080.0,106
Adventure,2010.0,19080.0,106
Casual,2010.0,19080.0,106
Action,2011.0,48190.0,2269190
Adventure,2011.0,48190.0,2269190
Casual,2011.0,48190.0,2269190
Action,2012.0,213330.0,416442
Adventure,2012.0,213330.0,416442
Casual,2012.0,213330.0,416442
Action,2013.0,221040.0,1538603
Adventure,2013.0,221040.0,1538603
Casual,2013.0,221040.0,1538603
Action,2014.0,294280.0,197
Adventure,2014.0,294280.0,197
Casual,2014.0,294280.0,197
Action,2015.0,412480.0,19
Adventure,2015.0,412480.0,19
Casual,2015.0,412480.0,19
Action,1992.0,358340.0,641
Adventure,1992.0,358340.0,641
Education,1992.0,358340.0,641
Action,2005.0,340.0,341011
Adventure,2005.0,340.0,341011
Free to Play,2005.0,340.0,341011
Action,2015.0,384000.0,3649
Adventure,2015.0,384000.0,3649
Indie,2015.0,384000.0,3649
Casual,2015.0,384000.0,3649
RPG,2015.0,384000.0,3649
Action,2016.0,466420.0,2390
Adventure,2016.0,466420.0,2390
Indie,2016.0,466420.0,2390
Casual,2016.0,466420.0,2390
RPG,2016.0,466420.0,2390
Action,2015.0,398830.0,349
Adventure,2015.0,398830.0,349
Indie,2015.0,398830.0,349
Casual,2015.0,398830.0,349
Racing,2015.0,398830.0,349
Action,2017.0,409410.0,42
Adventure,2017.0,409410.0,42
Indie,2017.0,409410.0,42
Casual,2017.0,409410.0,42
Simulation,2017.0,409410.0,42
Sports,2017.0,409410.0,42
Racing,2017.0,409410.0,42
Action,2016.0,496590.0,674
Adventure,2016.0,496590.0,674
Indie,2016.0,496590.0,674
Casual,2016.0,496590.0,674
Strategy,2016.0,496590.0,674
Action,2014.0,341160.0,8805
Adventure,2014.0,341160.0,8805
Indie,2014.0,341160.0,8805
Casual,2014.0,341160.0,8805
Action,2015.0,341260.0,437
Adventure,2015.0,341260.0,437
Indie,2015.0,341260.0,437
Casual,2015.0,341260.0,437
Action,2015.0,366610.0,4038
Adventure,2015.0,366610.0,4038
Indie,2015.0,366610.0,4038
Casual,2015.0,366610.0,4038
Action,2015.0,380700.0,4466
Adventure,2015.0,380700.0,4466
Indie,2015.0,380700.0,4466
Casual,2015.0,380700.0,4466
Action,2015.0,403860.0,91
Adventure,2015.0,403860.0,91
Indie,2015.0,403860.0,91
Casual,2015.0,403860.0,91
Action,2015.0,404460.0,0
Adventure,2015.0,404460.0,0
Indie,2015.0,404460.0,0
Casual,2015.0,404460.0,0
Action,2016.0,400910.0,87344
Adventure,2016.0,400910.0,87344
Indie,2016.0,400910.0,87344
Casual,2016.0,400910.0,87344
Action,2016.0,441670.0,2313
Adventure,2016.0,441670.0,2313
Indie,2016.0,441670.0,2313
Casual,2016.0,441670.0,2313
Action,2016.0,494120.0,59
Adventure,2016.0,494120.0,59
Indie,2016.0,494120.0,59
Casual,2016.0,494120.0,59
Action,2016.0,497590.0,43
Adventure,2016.0,497590.0,43
Indie,2016.0,497590.0,43
Casual,2016.0,497590.0,43
Action,2016.0,521000.0,0
Adventure,2016.0,521000.0,0
Indie,2016.0,521000.0,0
Casual,2016.0,521000.0,0
Action,2016.0,352950.0,1690
Adventure,2016.0,352950.0,1690
Indie,2016.0,352950.0,1690
Free to Play,2016.0,352950.0,1690
Action,2012.0,204360.0,6841780
Adventure,2012.0,204360.0,6841780
Indie,2012.0,204360.0,6841780
RPG,2012.0,204360.0,6841780
Casual,2012.0,204360.0,6841780
Action,2016.0,343150.0,49
Adventure,2016.0,343150.0,49
Indie,2016.0,343150.0,49
RPG,2016.0,343150.0,49
Casual,2016.0,343150.0,49
Action,2014.0,293440.0,2322
Adventure,2014.0,293440.0,2322
Indie,2014.0,293440.0,2322
RPG,2014.0,293440.0,2322
Action,2015.0,208750.0,79031
Adventure,2015.0,208750.0,79031
Indie,2015.0,208750.0,79031
RPG,2015.0,208750.0,79031
Action,2015.0,283080.0,7363
Adventure,2015.0,283080.0,7363
Indie,2015.0,283080.0,7363
RPG,2015.0,283080.0,7363
Action,2015.0,319430.0,0
Adventure,2015.0,319430.0,0
Indie,2015.0,319430.0,0
RPG,2015.0,319430.0,0
Action,2015.0,345820.0,60102
Adventure,2015.0,345820.0,60102
Indie,2015.0,345820.0,60102
RPG,2015.0,345820.0,60102
Action,2015.0,365060.0,194
Adventure,2015.0,365060.0,194
Indie,2015.0,365060.0,194
RPG,2015.0,365060.0,194
Action,2015.0,365870.0,226
Adventure,2015.0,365870.0,226
Indie,2015.0,365870.0,226
RPG,2015.0,365870.0,226
Action,2016.0,402880.0,39
Adventure,2016.0,402880.0,39
Indie,2016.0,402880.0,39
RPG,2016.0,402880.0,39
Action,2016.0,432540.0,0
Adventure,2016.0,432540.0,0
Indie,2016.0,432540.0,0
RPG,2016.0,432540.0,0
Action,2016.0,467910.0,166
Adventure,2016.0,467910.0,166
Indie,2016.0,467910.0,166
RPG,2016.0,467910.0,166
Action,2016.0,501920.0,0
Adventure,2016.0,501920.0,0
Indie,2016.0,501920.0,0
RPG,2016.0,501920.0,0
Action,2016.0,503480.0,5
Adventure,2016.0,503480.0,5
Indie,2016.0,503480.0,5
RPG,2016.0,503480.0,5
Action,2016.0,514220.0,0
Adventure,2016.0,514220.0,0
Indie,2016.0,514220.0,0
RPG,2016.0,514220.0,0
Action,2016.0,522050.0,0
Adventure,2016.0,522050.0,0
Indie,2016.0,522050.0,0
RPG,2016.0,522050.0,0
Action,2015.0,369100.0,416
Adventure,2015.0,369100.0,416
Indie,2015.0,369100.0,416
Simulation,2015.0,369100.0,416
Action,2015.0,414470.0,2414
Adventure,2015.0,414470.0,2414
Indie,2015.0,414470.0,2414
Simulation,2015.0,414470.0,2414
Action,2016.0,489050.0,0
Adventure,2016.0,489050.0,0
Indie,2016.0,489050.0,0
Simulation,2016.0,489050.0,0
Action,2016.0,444520.0,0
Adventure,2016.0,444520.0,0
Indie,2016.0,444520.0,0
Sports,2016.0,444520.0,0
Action,2011.0,92000.0,50263
Adventure,2011.0,92000.0,50263
Indie,2011.0,92000.0,50263
Strategy,2011.0,92000.0,50263
Action,2015.0,396930.0,84
